user_id,age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source,Cluster,Segment
100000,56,Female,India,iOS,2.1,5,3.41,52.71,13,5,8,8,1,0,20,Basic,9,5,2,4.0,0.31,55.79,1152,Referral,0,Cluster 0
100001,46,Male,UK,iOS,1.0,8,24.44,42.03,7,7,3,7,0,0,7,Free,8,3,3,3.0,0.87,82.39,1059,Email Campaign,3,Cluster 3
100002,32,Female,UK,iOS,1.2,12,5.34,76.69,7,5,2,21,1,0,33,Free,11,6,1,2.0,0.63,42.49,678,Google Ads,3,Cluster 3
100003,25,Male,India,Android,2.0,5,3.98,65.38,16,8,4,13,0,0,17,Basic,6,3,1,3.0,0.43,62.81,92,Organic,3,Cluster 3
100004,38,Male,Australia,Android,1.0,10,12.85,57.06,13,7,3,15,0,0,21,Basic,4,4,2,5.0,0.43,38.21,772,Email Campaign,1,Cluster 1
100005,56,Male,India,Android,1.0,12,10.51,25.39,14,7,6,14,0,0,4,Free,7,3,1,5.0,0.65,91.45,50,Email Campaign,1,Cluster 1
100006,36,Female,India,Android,1.2,8,19.93,14.86,15,2,5,3,0,0,43,Free,9,2,1,4.0,0.78,63.3,1161,Google Ads,1,Cluster 1
100007,40,Female,UK,Android,2.1,6,6.81,36.47,14,9,2,3,0,0,16,Premium,5,6,4,1.0,0.51,84.81,104,Organic,3,Cluster 3
100008,28,Female,Germany,Android,1.0,7,26.47,64.74,14,3,3,19,0,2,43,Free,6,3,5,4.0,0.08,72.85,989,Google Ads,2,Cluster 2
100009,28,Male,Singapore,Android,1.2,8,29.84,47.77,10,6,4,19,0,0,25,Free,3,4,2,3.0,0.19,55.92,373,Facebook Ads,3,Cluster 3
100010,41,Female,Australia,iOS,1.0,9,6.45,51.42,8,5,6,22,2,0,35,Basic,3,6,3,4.0,0.38,56.02,1155,Organic,0,Cluster 0
100011,53,Male,Canada,Android,2.1,6,3.45,45.83,7,3,2,8,0,0,21,Basic,7,5,2,4.0,0.32,74.7,380,Referral,1,Cluster 1
100012,57,Male,USA,iOS,1.1,5,20.0,27.22,12,6,4,20,0,0,1,Free,5,2,1,5.0,0.07,62.19,617,Referral,1,Cluster 1
100013,41,Male,USA,Android,1.2,8,5.06,37.34,8,5,4,18,1,1,44,Basic,8,5,2,1.0,0.48,67.25,255,Organic,3,Cluster 3
100014,20,Male,USA,iOS,1.1,5,17.92,29.55,16,3,3,21,0,0,11,Basic,5,0,5,5.0,0.98,51.33,691,Google Ads,1,Cluster 1
100015,39,Female,Singapore,Android,1.2,7,34.27,34.42,13,7,2,3,1,0,35,Free,6,3,2,3.0,0.26,52.69,1130,Organic,0,Cluster 0
100016,19,Male,India,iOS,1.0,7,16.36,65.07,8,9,7,11,0,0,29,Free,8,1,3,4.0,0.25,73.52,618,Google Ads,1,Cluster 1
100017,41,Female,USA,Android,1.0,6,16.89,74.7,6,6,6,24,2,0,5,Basic,9,1,1,3.0,0.21,100.0,24,Organic,0,Cluster 0
100018,47,Male,India,Android,2.1,10,13.69,70.42,9,4,2,18,0,0,14,Free,4,5,2,4.0,0.14,51.37,37,Facebook Ads,1,Cluster 1
100019,55,Male,USA,iOS,2.1,7,10.02,41.47,7,5,4,16,0,0,34,Basic,5,2,0,3.0,0.84,68.99,306,Facebook Ads,3,Cluster 3
100020,19,Female,USA,Android,1.2,6,13.24,27.44,16,2,4,19,1,0,44,Basic,4,2,1,4.0,0.65,70.46,1025,Organic,0,Cluster 0
100021,38,Female,Germany,Android,2.1,9,10.07,47.97,13,4,6,23,2,0,39,Free,2,7,1,3.0,0.04,57.35,424,Referral,0,Cluster 0
100022,50,Female,India,iOS,2.0,4,9.75,52.22,10,2,3,7,0,0,8,Free,3,6,3,5.0,0.79,78.2,562,Organic,1,Cluster 1
100023,29,Male,Canada,iOS,1.2,13,11.32,45.59,18,8,6,14,0,0,12,Free,6,6,1,5.0,0.87,67.32,34,Email Campaign,1,Cluster 1
100024,39,Male,UK,Android,2.0,9,8.14,77.63,15,5,4,17,0,0,28,Free,4,6,1,2.0,0.18,82.69,255,Referral,3,Cluster 3
100025,42,Male,India,Android,1.2,9,7.06,24.22,17,5,4,3,0,0,41,Basic,7,3,1,5.0,0.19,79.11,1021,Organic,1,Cluster 1
100026,44,Female,USA,Android,1.2,7,16.42,32.61,14,9,6,19,0,0,2,Premium,5,2,3,4.0,0.94,72.71,649,Organic,1,Cluster 1
100027,59,Male,USA,Android,1.2,11,3.73,67.78,9,9,2,17,0,0,33,Free,5,1,2,3.0,0.27,35.2,631,Referral,3,Cluster 3
100028,45,Female,Germany,Android,1.1,7,9.71,42.66,15,5,6,8,0,1,22,Free,4,7,2,4.0,0.03,44.53,270,Google Ads,2,Cluster 2
100029,33,Female,India,Android,1.1,8,6.52,26.01,16,5,2,9,2,0,38,Free,7,4,3,5.0,0.33,71.47,96,Referral,0,Cluster 0
100030,32,Female,USA,Web,2.1,7,9.81,40.61,10,4,5,11,0,0,39,Free,3,5,0,4.0,0.58,57.15,986,Facebook Ads,1,Cluster 1
100031,20,Other,India,Android,1.0,18,27.97,96.2,18,4,4,4,1,0,43,Basic,4,4,1,4.0,0.88,55.54,657,Google Ads,0,Cluster 0
100032,54,Female,India,Android,2.1,9,13.45,29.45,18,10,7,16,0,0,22,Basic,3,4,4,5.0,0.72,68.26,535,Google Ads,1,Cluster 1
100033,24,Male,India,iOS,2.0,8,14.39,31.3,12,4,5,5,0,0,18,Free,8,2,3,4.0,0.25,39.1,82,Organic,1,Cluster 1
100034,38,Female,USA,iOS,1.2,11,10.65,52.53,7,9,5,20,0,0,36,Free,9,3,3,5.0,0.57,54.6,420,Google Ads,1,Cluster 1
100035,26,Female,Canada,Android,1.1,5,7.11,33.97,15,6,8,6,0,0,22,Free,4,3,1,2.0,0.37,95.65,453,Referral,3,Cluster 3
100036,56,Female,USA,Android,1.2,3,28.53,71.31,12,4,5,14,0,0,2,Basic,8,5,2,5.0,0.43,71.31,847,Organic,1,Cluster 1
100037,35,Male,USA,Android,1.2,8,28.76,41.49,13,6,6,5,1,0,26,Free,5,1,2,4.0,0.76,59.79,824,Google Ads,0,Cluster 0
100038,21,Male,UK,iOS,1.0,9,3.71,21.55,14,5,3,14,0,0,12,Basic,5,4,1,4.0,0.6,83.57,332,Referral,1,Cluster 1
100039,42,Male,India,Web,1.1,5,14.16,73.75,14,3,5,6,0,0,29,Free,7,3,0,4.0,0.44,57.69,196,Facebook Ads,1,Cluster 1
100040,31,Male,India,iOS,1.1,10,31.83,58.74,13,7,3,11,1,0,42,Basic,3,1,6,4.0,0.02,51.78,189,Facebook Ads,0,Cluster 0
100041,26,Female,Singapore,Web,1.1,11,24.4,45.43,16,9,8,8,0,1,5,Free,5,3,2,4.0,0.44,50.22,164,Organic,2,Cluster 2
100042,43,Female,Singapore,Web,2.0,9,7.9,49.39,14,3,1,13,1,0,32,Free,5,7,2,4.0,0.55,75.46,321,Organic,0,Cluster 0
100043,19,Female,Canada,Android,2.0,12,7.81,41.19,12,6,5,22,2,0,3,Free,4,1,5,4.0,0.3,30.84,522,Google Ads,0,Cluster 0
100044,37,Male,Canada,Android,1.0,7,12.42,76.37,11,5,3,14,0,0,37,Basic,8,5,2,4.0,0.7,43.1,913,Google Ads,1,Cluster 1
100045,45,Female,India,Android,2.0,9,38.01,19.16,11,10,5,13,0,0,35,Free,7,4,3,3.0,0.55,43.8,561,Organic,3,Cluster 3
100046,24,Female,India,Android,2.0,9,19.36,54.3,5,5,3,15,0,0,23,Free,6,4,2,1.0,0.22,83.76,830,Facebook Ads,3,Cluster 3
100047,25,Female,USA,Android,1.0,8,33.17,60.68,11,4,7,17,0,0,33,Free,10,4,3,3.0,0.88,94.83,1090,Google Ads,3,Cluster 3
100048,52,Female,India,Android,1.0,7,6.79,46.89,14,4,6,18,1,1,23,Free,5,1,2,4.0,0.88,59.4,975,Facebook Ads,2,Cluster 2
